branch_id,product_id,quantity
1,1,22
1,2,5
1,3,36
1,4,14
1,5,6
1,6,40
1,7,42
1,8,18
1,9,34
1,10,14
1,11,25
1,12,25
1,13,17
1,14,22
1,15,44
1,16,30
1,17,9
1,18,7
1,19,28
1,20,3
1,21,31
1,22,27
1,23,20
1,24,36
1,25,19
1,26,49
1,27,7
1,28,15
1,29,34
1,30,13
1,31,50
1,32,32
1,33,9
1,34,45
1,35,10
1,37,20
1,38,11
1,39,47
1,40,5
1,41,2
1,42,25
1,43,22
1,44,34
1,45,22
1,46,36
1,47,50
1,48,42
1,49,6
1,50,23
1,51,47
1,52,7
1,53,7
1,54,43
1,55,39
1,56,43
1,57,38
1,58,18
1,59,11
1,60,38
1,61,11
1,63,40
1,64,50
1,65,16
1,66,42
1,67,6
1,68,1
1,69,5
1,70,16
1,71,37
1,72,46
1,73,1
1,74,36
1,75,22
1,76,3
1,77,21
1,78,3
1,79,45
1,80,42
1,81,5
1,82,38
1,83,7
1,84,26
1,85,43
1,86,4
1,87,37
1,88,12
1,89,5
1,90,25
1,91,35
1,92,9
1,93,15
1,94,21
1,95,37
1,96,42
1,97,13
1,98,9
1,99,40
1,101,45
1,102,0
1,103,40
1,104,49
1,105,6
1,106,2
1,107,38
1,108,15
1,110,35
1,111,2
1,112,46
1,113,21
1,114,33
1,115,38
1,116,50
1,117,40
1,118,42
1,119,49
1,120,26
1,121,5
1,122,45
1,124,3
1,125,31
1,126,26
1,127,33
1,128,37
1,129,47
1,130,32
1,131,24
1,132,1
1,133,31
1,134,15
1,135,26
1,136,11
1,137,40
1,139,15
1,140,44
1,141,39
1,142,11
1,143,21
1,144,15
1,145,19
1,147,19
1,148,3
1,149,26
1,150,22
1,151,6
1,152,39
1,153,47
1,154,26
1,156,15
1,157,39
1,158,22
1,160,37
1,161,12
1,162,34
1,163,34
1,164,44
1,165,6
1,166,44
1,167,44
1,168,3
1,169,31
1,170,36
1,171,35
1,172,28
1,173,33
1,174,15
1,175,34
1,176,25
1,177,20
1,178,43
1,179,2
1,181,15
1,182,26
1,183,30
1,184,5
1,185,42
1,186,6
1,187,19
1,188,46
1,189,27
1,190,45
1,191,20
1,193,28
1,195,40
1,196,49
1,197,18
1,198,14
1,199,36
1,200,20
1,201,10
1,203,3
1,204,35
1,205,18
1,206,50
1,207,34
1,208,35
1,209,26
1,210,37
1,211,48
1,212,25
1,214,12
1,215,8
1,217,41
1,218,28
1,219,24
1,220,10
1,221,13
1,222,15
1,223,12
1,224,36
1,225,18
1,226,30
1,227,22
1,228,25
1,229,42
1,230,50
1,231,23
1,232,35
1,233,20
1,234,46
1,235,15
1,236,5
1,237,16
1,238,46
1,239,50
1,240,42
1,241,35
1,242,26
1,244,1
1,245,49
1,246,39
1,247,2
1,248,3
1,249,30
1,250,9
1,251,14
1,252,3
1,253,12
1,255,32
1,256,2
1,257,17
1,258,33
1,259,12
1,260,35
1,261,27
1,262,14
1,264,38
1,265,26
1,266,25
1,267,0
1,269,30
1,271,46
1,272,12
1,273,17
1,274,25
1,275,10
1,277,6
1,278,40
1,279,24
1,280,33
1,281,30
1,282,11
1,284,9
1,286,0
1,287,33
1,288,6
1,289,45
1,290,14
1,291,47
1,292,38
1,293,23
1,295,22
1,296,27
1,297,30
1,298,31
1,299,17
1,300,7
1,301,16
1,302,20
1,303,29
1,304,34
1,305,28
1,306,42
1,308,45
1,309,49
1,310,36
1,311,9
1,312,16
1,314,9
1,315,9
1,316,5
1,320,1
1,321,21
1,323,13
1,324,10
1,325,1
1,326,12
1,327,5
1,328,26
1,329,28
1,331,33
1,332,37
1,335,37
1,336,0
1,337,13
1,338,12
1,339,24
1,340,49
1,342,27
1,343,24
1,344,45
1,345,25
1,346,17
1,347,1
1,348,3
1,349,33
1,352,3
1,354,45
1,355,16
1,356,21
1,357,47
1,358,13
1,359,38
1,360,11
1,361,9
1,362,1
1,363,31
1,364,15
1,365,23
1,366,49
1,367,36
1,368,26
1,369,11
1,371,40
1,372,32
1,373,32
1,374,12
1,375,4
1,376,44
1,377,30
1,378,50
1,379,5
1,380,32
1,381,14
1,382,47
1,383,41
1,384,29
1,385,49
1,386,9
1,387,39
1,388,9
1,389,37
1,390,4
1,391,26
1,392,27
1,393,41
1,394,1
1,395,23
1,396,16
1,397,25
1,398,5
1,399,16
1,400,26
1,401,48
1,402,29
1,403,5
1,404,3
1,405,28
1,406,11
1,408,5
1,409,2
1,410,12
1,411,32
1,413,33
1,416,16
1,417,0
1,418,21
1,419,13
1,420,24
1,422,36
1,423,19
1,424,47
1,425,47
1,426,24
1,427,48
1,428,46
1,429,22
1,430,5
1,431,10
1,432,2
1,433,20
1,434,20
1,435,12
1,436,36
1,437,25
1,438,5
1,439,8
1,440,44
1,441,34
1,443,40
1,444,33
1,445,0
1,446,47
1,448,18
1,450,39
1,451,43
1,452,50
1,453,17
1,454,7
1,455,20
1,456,11
1,457,18
1,458,17
1,459,13
1,460,6
1,461,28
1,462,9
1,463,26
1,464,26
1,465,50
1,466,9
1,467,0
1,468,20
1,469,5
1,470,36
1,471,7
1,472,26
1,473,29
1,475,17
1,476,37
1,477,14
1,478,3
1,479,7
1,480,33
1,481,28
1,482,31
1,483,33
1,484,48
1,485,43
1,486,26
1,487,26
1,488,13
1,490,1
1,491,18
1,492,20
1,493,13
1,494,11
1,495,0
1,496,2
1,497,35
1,498,50
1,499,4
1,500,7
1,501,32
1,502,12
1,503,46
1,504,48
1,505,39
1,506,23
1,507,19
1,508,23
1,511,42
1,512,20
1,513,45
1,514,39
1,515,37
1,516,45
1,517,24
1,518,4
1,519,14
1,520,35
1,521,34
1,522,44
1,523,22
1,524,43
1,525,11
1,526,3
1,527,43
1,528,29
1,529,37
1,532,4
1,533,15
1,534,25
1,535,50
1,536,13
1,537,6
1,538,19
1,539,44
1,540,9
1,541,43
1,543,14
1,546,3
1,547,20
1,548,8
1,549,43
1,550,25
1,551,15
1,552,7
1,553,21
1,554,0
1,555,15
1,556,43
1,557,32
1,558,18
1,559,14
1,560,22
1,561,47
1,562,43
1,563,48
1,564,30
1,565,16
1,566,36
1,567,50
1,568,28
1,570,30
1,571,30
1,572,33
1,573,3
1,574,11
1,575,22
1,576,42
1,577,14
1,578,23
1,579,42
1,580,39
1,581,32
1,582,49
1,583,33
1,584,30
1,585,46
1,586,5
1,587,9
1,588,31
1,589,9
1,590,34
1,591,20
1,592,28
1,594,5
1,595,19
1,596,6
1,597,14
1,598,46
1,599,7
1,600,34
1,601,41
1,602,49
1,603,20
1,604,17
1,606,41
1,607,25
1,608,10
1,609,9
1,610,20
1,611,38
1,612,13
1,613,43
1,614,37
1,615,27
1,616,23
1,617,43
1,618,0
1,619,37
1,620,34
1,621,47
1,622,32
1,623,39
1,624,1
1,625,46
1,626,13
1,627,8
1,629,31
1,630,34
1,631,18
1,632,45
1,633,26
1,634,43
1,635,39
1,636,25
1,637,39
1,638,1
1,639,49
1,640,14
1,641,17
1,642,5
1,644,15
1,645,29
1,646,33
1,647,40
1,648,49
1,649,37
1,650,20
1,651,13
1,652,45
1,653,11
1,654,9
1,655,36
1,656,40
1,658,26
