1,1,1,2025-02-12 00:00:00,2025-02-18 00:00:00,Delivered
3,1,11,2025-12-17 00:00:00,2025-12-29 00:00:00,Delivered
5,1,4,2025-12-02 00:00:00,2025-12-11 00:00:00,Delivered
7,1,12,2024-06-11 00:00:00,2024-06-21 00:00:00,Pending
9,1,10,2024-01-05 00:00:00,2024-01-19 00:00:00,Confirmed
10,1,12,2025-04-17 00:00:00,2025-04-29 00:00:00,Confirmed
11,1,5,2023-03-12 00:00:00,2023-03-17 00:00:00,Pending
13,1,12,2025-05-19 00:00:00,2025-05-29 00:00:00,Confirmed
14,1,12,2024-03-04 00:00:00,2024-03-11 00:00:00,Pending
16,1,1,2023-01-29 00:00:00,2023-02-10 00:00:00,Pending
17,1,7,2025-01-03 00:00:00,2025-01-10 00:00:00,Delivered
18,1,12,2025-02-06 00:00:00,2025-02-21 00:00:00,Cancelled
19,1,8,2025-09-30 00:00:00,2025-10-05 00:00:00,Delivered
20,1,1,2024-06-17 00:00:00,2024-07-01 00:00:00,Confirmed
21,1,6,2025-01-23 00:00:00,2025-01-30 00:00:00,Delivered
22,1,1,2023-07-05 00:00:00,2023-07-16 00:00:00,Confirmed
25,1,5,2023-06-24 00:00:00,2023-07-04 00:00:00,Confirmed
27,2,9,2023-06-17 00:00:00,2023-06-28 00:00:00,Pending
29,2,7,2023-01-26 00:00:00,2023-02-06 00:00:00,Confirmed
31,2,7,2024-02-19 00:00:00,2024-03-01 00:00:00,Delivered
32,2,5,2024-05-30 00:00:00,2024-06-03 00:00:00,Pending
33,2,9,2024-01-09 00:00:00,2024-01-18 00:00:00,Confirmed
34,2,9,2023-11-06 00:00:00,2023-11-14 00:00:00,Confirmed
35,2,9,2024-01-21 00:00:00,2024-02-05 00:00:00,Confirmed
36,2,1,2023-07-25 00:00:00,2023-07-30 00:00:00,Pending
37,2,3,2024-09-04 00:00:00,2024-09-07 00:00:00,Confirmed
38,2,11,2024-07-21 00:00:00,2024-07-27 00:00:00,Pending
39,2,7,2025-09-10 00:00:00,2025-09-23 00:00:00,Delivered
40,2,2,2023-04-05 00:00:00,2023-04-19 00:00:00,Confirmed
41,2,1,2023-08-12 00:00:00,2023-08-16 00:00:00,Confirmed
43,2,4,2023-12-10 00:00:00,2023-12-23 00:00:00,Delivered
45,2,8,2023-09-07 00:00:00,2023-09-16 00:00:00,Pending
46,2,3,2024-10-24 00:00:00,2024-11-06 00:00:00,Pending
47,2,11,2023-05-09 00:00:00,2023-05-13 00:00:00,Confirmed
49,2,6,2025-03-04 00:00:00,2025-03-09 00:00:00,Pending
50,2,10,2024-05-17 00:00:00,2024-05-27 00:00:00,Confirmed
51,2,6,2023-09-21 00:00:00,2023-10-02 00:00:00,Pending
52,2,6,2023-10-17 00:00:00,2023-10-26 00:00:00,Delivered
53,2,4,2025-03-12 00:00:00,2025-03-15 00:00:00,Delivered
54,2,7,2025-02-02 00:00:00,2025-02-17 00:00:00,Pending
55,2,5,2025-11-21 00:00:00,2025-12-05 00:00:00,Pending
57,2,4,2025-11-30 00:00:00,2025-12-04 00:00:00,Cancelled
58,2,8,2024-06-01 00:00:00,2024-06-08 00:00:00,Pending
62,3,2,2024-03-21 00:00:00,2024-04-02 00:00:00,Delivered
63,3,2,2025-01-27 00:00:00,2025-02-08 00:00:00,Confirmed
65,3,11,2024-06-07 00:00:00,2024-06-21 00:00:00,Delivered
66,3,8,2025-09-15 00:00:00,2025-09-23 00:00:00,Pending
67,3,8,2023-07-25 00:00:00,2023-08-08 00:00:00,Pending
70,3,5,2025-07-09 00:00:00,2025-07-17 00:00:00,Confirmed
71,3,3,2023-01-16 00:00:00,2023-01-27 00:00:00,Cancelled
74,3,5,2023-03-10 00:00:00,2023-03-22 00:00:00,Pending
75,3,10,2024-03-24 00:00:00,2024-03-29 00:00:00,Delivered
76,3,5,2024-09-26 00:00:00,2024-10-06 00:00:00,Delivered
77,3,2,2024-08-05 00:00:00,2024-08-11 00:00:00,Confirmed
78,3,7,2024-01-11 00:00:00,2024-01-17 00:00:00,Delivered
79,3,10,2025-09-21 00:00:00,2025-10-01 00:00:00,Delivered
80,3,12,2024-08-13 00:00:00,2024-08-21 00:00:00,Pending
81,3,5,2025-10-03 00:00:00,2025-10-10 00:00:00,Cancelled
83,3,6,2024-11-12 00:00:00,2024-11-21 00:00:00,Cancelled
85,3,12,2024-09-15 00:00:00,2024-09-19 00:00:00,Pending
86,3,11,2025-09-04 00:00:00,2025-09-15 00:00:00,Pending
87,3,7,2023-10-16 00:00:00,2023-10-19 00:00:00,Confirmed
88,3,6,2024-10-23 00:00:00,2024-10-29 00:00:00,Delivered
89,3,8,2024-04-11 00:00:00,2024-04-23 00:00:00,Delivered
92,3,2,2023-03-18 00:00:00,2023-04-02 00:00:00,Confirmed
94,4,11,2024-09-18 00:00:00,2024-09-30 00:00:00,Confirmed
96,4,1,2024-05-10 00:00:00,2024-05-14 00:00:00,Delivered
97,4,6,2025-06-14 00:00:00,2025-06-27 00:00:00,Confirmed
98,4,4,2023-07-31 00:00:00,2023-08-04 00:00:00,Delivered
99,4,6,2023-02-14 00:00:00,2023-02-23 00:00:00,Confirmed
100,4,1,2025-09-08 00:00:00,2025-09-18 00:00:00,Pending
101,4,6,2025-11-08 00:00:00,2025-11-14 00:00:00,Confirmed
102,4,2,2025-03-14 00:00:00,2025-03-19 00:00:00,Delivered
105,4,7,2025-05-21 00:00:00,2025-06-03 00:00:00,Delivered
106,4,10,2025-11-11 00:00:00,2025-11-15 00:00:00,Cancelled
107,4,8,2024-06-21 00:00:00,2024-06-27 00:00:00,Delivered
109,4,11,2024-04-27 00:00:00,2024-05-08 00:00:00,Pending
111,4,6,2023-04-17 00:00:00,2023-04-27 00:00:00,Pending
112,4,8,2023-08-03 00:00:00,2023-08-18 00:00:00,Delivered
113,5,12,2024-05-30 00:00:00,2024-06-06 00:00:00,Pending
114,5,2,2025-01-25 00:00:00,2025-02-09 00:00:00,Confirmed
115,5,10,2024-09-16 00:00:00,2024-09-23 00:00:00,Pending
